# x_range         kde_values
    0.905439     0.005321
    2.568785     0.005468
    4.232131     0.005601
    5.895477     0.005720
    7.558823     0.005824
    9.222169     0.005912
   10.885515     0.005983
   12.548861     0.006039
   14.212207     0.006077
   15.875553     0.006100
   17.538899     0.006106
   19.202245     0.006097
   20.865591     0.006073
   22.528937     0.006035
   24.192283     0.005983
   25.855630     0.005919
   27.518976     0.005843
   29.182322     0.005757
   30.845668     0.005662
   32.509014     0.005559
   34.172360     0.005450
   35.835706     0.005334
   37.499052     0.005214
   39.162398     0.005091
   40.825744     0.004966
   42.489090     0.004839
   44.152436     0.004712
   45.815782     0.004586
   47.479128     0.004460
   49.142474     0.004337
   50.805820     0.004216
   52.469166     0.004099
   54.132512     0.003984
   55.795858     0.003874
   57.459204     0.003768
   59.122550     0.003666
   60.785896     0.003569
   62.449242     0.003476
   64.112588     0.003388
   65.775934     0.003305
   67.439280     0.003226
   69.102626     0.003152
   70.765972     0.003082
   72.429319     0.003017
   74.092665     0.002956
   75.756011     0.002898
   77.419357     0.002845
   79.082703     0.002796
   80.746049     0.002750
   82.409395     0.002707
   84.072741     0.002668
   85.736087     0.002632
   87.399433     0.002598
   89.062779     0.002568
   90.726125     0.002541
   92.389471     0.002516
   94.052817     0.002494
   95.716163     0.002475
   97.379509     0.002459
   99.042855     0.002445
  100.706201     0.002433
  102.369547     0.002424
  104.032893     0.002418
  105.696239     0.002415
  107.359585     0.002414
  109.022931     0.002415
  110.686277     0.002419
  112.349623     0.002426
  114.012969     0.002436
  115.676315     0.002447
  117.339661     0.002462
  119.003007     0.002479
  120.666354     0.002498
  122.329700     0.002519
  123.993046     0.002542
  125.656392     0.002567
  127.319738     0.002594
  128.983084     0.002623
  130.646430     0.002653
  132.309776     0.002684
  133.973122     0.002715
  135.636468     0.002747
  137.299814     0.002780
  138.963160     0.002813
  140.626506     0.002845
  142.289852     0.002876
  143.953198     0.002907
  145.616544     0.002937
  147.279890     0.002966
  148.943236     0.002993
  150.606582     0.003018
  152.269928     0.003041
  153.933274     0.003062
  155.596620     0.003081
  157.259966     0.003097
  158.923312     0.003111
  160.586658     0.003122
  162.250004     0.003130
  163.913350     0.003135
  165.576696     0.003138
  167.240043     0.003138
  168.903389     0.003135
  170.566735     0.003129
  172.230081     0.003121
  173.893427     0.003110
  175.556773     0.003096
  177.220119     0.003080
  178.883465     0.003062
  180.546811     0.003042
  182.210157     0.003019
  183.873503     0.002994
  185.536849     0.002968
  187.200195     0.002940
  188.863541     0.002910
  190.526887     0.002879
  192.190233     0.002847
  193.853579     0.002813
  195.516925     0.002779
  197.180271     0.002743
  198.843617     0.002707
  200.506963     0.002669
  202.170309     0.002631
  203.833655     0.002592
  205.497001     0.002553
  207.160347     0.002513
  208.823693     0.002472
  210.487039     0.002431
  212.150385     0.002389
  213.813732     0.002347
  215.477078     0.002304
  217.140424     0.002260
  218.803770     0.002216
  220.467116     0.002171
  222.130462     0.002126
  223.793808     0.002079
  225.457154     0.002032
  227.120500     0.001984
  228.783846     0.001936
  230.447192     0.001886
  232.110538     0.001837
  233.773884     0.001786
  235.437230     0.001735
  237.100576     0.001684
  238.763922     0.001632
  240.427268     0.001580
  242.090614     0.001528
  243.753960     0.001477
  245.417306     0.001425
  247.080652     0.001374
  248.743998     0.001323
  250.407344     0.001274
  252.070690     0.001225
  253.734036     0.001177
  255.397382     0.001131
  257.060728     0.001086
  258.724074     0.001042
  260.387420     0.001000
  262.050767     0.000960
  263.714113     0.000922
  265.377459     0.000886
  267.040805     0.000852
  268.704151     0.000820
  270.367497     0.000789
  272.030843     0.000761
  273.694189     0.000735
  275.357535     0.000711
  277.020881     0.000688
  278.684227     0.000667
  280.347573     0.000648
  282.010919     0.000631
  283.674265     0.000615
  285.337611     0.000600
  287.000957     0.000586
  288.664303     0.000574
  290.327649     0.000562
  291.990995     0.000551
  293.654341     0.000541
  295.317687     0.000531
  296.981033     0.000522
  298.644379     0.000513
  300.307725     0.000504
  301.971071     0.000495
  303.634417     0.000487
  305.297763     0.000478
  306.961109     0.000469
  308.624456     0.000460
  310.287802     0.000450
  311.951148     0.000440
  313.614494     0.000430
  315.277840     0.000420
  316.941186     0.000409
  318.604532     0.000398
  320.267878     0.000387
  321.931224     0.000375
  323.594570     0.000363
  325.257916     0.000351
  326.921262     0.000338
  328.584608     0.000326
  330.247954     0.000313
  331.911300     0.000300
